ident,date,object_title,object_id,legacy_object_id,status,message,output__123702788__COL$A,output__123702788__COL$B,output__123702788__COL$C,output__123702788__COL$D,output__123702788__COL$E,output__123702788__COL$F,output__123702788__COL$G,output__123702788__COL$H,output__123702788__COL$I,output__123702788__id,output__123702788__row
009c25b2-95cd-a522-aa83-58daa262ccb1,2021-05-29T20:37:10.708499+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Колготки и носки",,Гетры,799.00,"gender:Мужской|Размер:19-22|Цвет:Коричневый|Пол:Мужской|Возраст:Детский|Материал:Шерсть мериноса-90%, Полиамид-10%",https://www.bebakids.ru/upload/iblock/m/ddc/163915_61_1.jpeg,499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fgetry-9thsru-018-norveg-61%2F%3Fsize%3D19-22,Norveg,4042,4042
009c25b2-ce49-ab82-a487-40f710562b61,2021-05-29T20:37:10.595362+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Шарфы",,Шарф,3599.00,"gender:Женский|Размер:UNI|Цвет:Серый|Пол:Женский|Возраст:Детский|Материал:Шерсть-47%, Вискоза-30%, Полиамид-15%, Кашемир-8%",https://www.bebakids.ru/upload/iblock/m/630/173100_12_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsharf-lapki-29515-2046sh-noble-people-12%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People,4043,4043
009c25b2-0c3e-a62d-b1ca-907c8be6bc21,2021-05-29T20:37:09.659058+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,6999.00,"gender:Женский|Размер:92|Цвет:Зеленый|Пол:Женский|Возраст:Для малышей|Материал:Акрил-86%, Вискоза-14%",https://www.bebakids.ru/upload/iblock/m/409/172465_498_1.jpeg,3599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-bebi-vyazanyy-lif-i-konusnaya-yubka-29526-955-noble-people-498%2F%3Fsize%3D92,Noble People,4044,4044
009c25b2-675a-a905-8088-833e88eb5b51,2021-05-29T20:37:09.551764+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,6999.00,gender:Женский|Размер:92|Цвет:Синий|Пол:Женский|Возраст:Для малышей|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/083/173099_3196_1.jpeg,3599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-bebi-payetki-s-setkoy-na-shnurke-29526-966-noble-people-3196%2F%3Fsize%3D92,Noble People,4045,4045
009c25b2-3820-aa81-aa0f-17ec85a998a1,2021-05-29T20:37:09.447157+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,6999.00,gender:Женский|Размер:92|Цвет:Синий|Пол:Женский|Возраст:Для малышей|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/655/171575_3196_1.jpeg,3599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-bebi-snezhinka-payetki-29526-914-noble-people-3196%2F%3Fsize%3D92,Noble People,4046,4046
009c25b2-6243-a827-9483-329b669e8911,2021-05-29T20:37:09.307614+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,11999.00,"gender:Женский|Размер:140|Цвет:Розовый|Пол:Женский|Возраст:Детский|Материал:Полиэстер-53%, Хлопок-47%",https://www.bebakids.ru/upload/iblock/m/126/172458_12_1.jpeg,5999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-solntse-iz-setki-s-ryushami-29526-946-noble-people-12%2F%3Fsize%3D140,Noble People,4047,4047
009c25b2-c4ca-a356-8054-9f88935a63b1,2021-05-29T20:37:09.199517+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Аксессуары/Галстуки",,Галстук-бант,599.00,gender:Женский|Размер:UNI|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/95a/161668_61_1.jpeg,499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fgalstuk-bant-ssfsg-825-27905-344-silver-spoon-61%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Silver Spoon,4048,4048
009c25b2-df46-a503-a3c9-ab7bcced6001,2021-05-29T20:37:09.107726+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Шорты",,Бермуды,3999.00,"gender:Мужской|Размер:104|Цвет:Голубой|Пол:Мужской|Возраст:Детский|Материал:Хлопок-97%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/ab3/136250_59_1.jpeg,1299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbermudy-rk1301-ronnie-kay-59%2F%3Fsize%3D104,Ronnie Kay,4049,4049
009c25b2-7198-aae0-93c6-1427b7fe71a1,2021-05-29T20:37:08.994113+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Лонгслив,2399.00,"gender:Женский|Размер:104|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/3a3/159821_510_1.jpeg,799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Flongsliv-tf18912-to-be-too-510%2F%3Fsize%3D104,To Be Too,4050,4050
009c25b2-cbe2-ab3a-8935-2d8a66064791,2021-05-29T20:37:08.893544+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Верхняя одежда/Куртки",,Куртка,19899.00,gender:Женский|Размер:120|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/33a/166655_7_1.jpeg,5999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkurtka-q9288-mnc-7%2F%3Fsize%3D120,MNC,4051,4051
009c25b2-1e6a-a007-95e9-cf14c691a3b1,2021-05-29T20:37:08.768418+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Ботинки",,Ботинки,5199.00,gender:Женский|Размер:35|Цвет:Розовый|Пол:Женский|Возраст:Детский|Материал:Нубук искусственный-100%,https://www.bebakids.ru/upload/iblock/m/6ab/176100_1_1.jpeg,2699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbotinki-59812717-06-keddo-1%2F%3Fsize%3D35,Keddo,4052,4052
009c25b2-02b4-a5c0-80b4-246301e1f9d1,2021-05-29T20:37:08.678692+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Колготки и носки",,Колготки,299.00,"gender:Женский|Размер:III|Цвет:Бежевый|Пол:Женский|Возраст:Детский|Материал:Полиамид-87%, Эластан-10%, Хлопок-3%",https://www.bebakids.ru/upload/iblock/m/476/132334_4009_1.jpeg,149.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkolgotki-40-den-support40-charmante-4009%2F%3Fsize%3DIII,Charmante,4053,4053
