categoryId,description,name,oldprice,param,picture,price,url,vendor
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Блузки",,Блуза,3799.00,gender:Женский|Размер:98|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/fb8/151137_205_1.jpeg,1199.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbluza-yb12139-y-clu-205%2F%3Fsize%3D98,Y-clu'
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Толстовки",,Толстовка,6499.00,"gender:Мужской|Размер:140|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Полиэстер-90%, Эластан-10%",https://www.bebakids.ru/upload/iblock/m/87c/159933_46_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ftolstovka-sg7532-street-gang-46%2F%3Fsize%3D140,Street Gang
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Шапка,4399.00,"gender:Женский|Размер:48-50|Цвет:Серый|Пол:Женский|Возраст:Для малышей|Материал:Полиамид-28%, Акрил-27%, Шерсть-18%, Вискоза-18%, Мохер-6%, Полиэстер-3%",https://www.bebakids.ru/upload/iblock/m/a7e/153441_12_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fshapka-bebi-tor-mukha-ah5-1-laddobbo-12%2F%3Fsize%3D48-50,Laddobbo
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Перчатки",,Термоперчатки,799.00,gender:Мужской|Размер:19-20|Цвет:Голубой|Пол:Мужской|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/217/90933_19_1.jpeg,399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ftermoperchatki-mashinka-tp-34-finox-19%2F%3Fsize%3D19-20,Finox
"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Туфли",,Полуботинки,3799.00,gender:Женский|Размер:33|Цвет:Серый|Пол:Женский|Возраст:Детский|Материал:Кожа искусственная-100%,https://www.bebakids.ru/upload/iblock/m/ae8/154989_1453_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolubotinki-58860807-02-keddo-1453%2F%3Fsize%3D33,Keddo
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Перчатки",,Митенки,1799.00,"gender:Женский|Размер:UNI|Цвет:Красный|Пол:Женский|Возраст:Детский|Материал:Полиамид-28%, Акрил-27%, Шерсть-18%, Вискоза-18%, Мохер-6%, Полиэстер-3%",https://www.bebakids.ru/upload/iblock/m/d59/153435_1480_1.jpeg,599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fmitenki-tor-ah5-6m-laddobbo-1480%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Laddobbo
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Шарфы",,Снуд,2799.00,"gender:Женский|Размер:UNI|Цвет:Серый|Пол:Женский|Возраст:Детский|Материал:Полиамид-28%, Акрил-27%, Шерсть-18%, Вискоза-18%, Мохер-6%, Полиэстер-3%",https://www.bebakids.ru/upload/iblock/m/062/153434_498_1.jpeg,899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsnud-tor-ah5-6c-laddobbo-498%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Laddobbo
Детские товары/Игрушки и игры,,Парео,1199.00,gender:Женский|Размер:UNI|Цвет:Фиолетовый|Пол:Женский|Возраст:Детский|Материал:Нейлон-100%,https://www.bebakids.ru/upload/iblock/m/eff/118599_2961_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpareo-plyazhnoe-iz-setki-28637-79-05-noble-people-2961%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Колготки и носки",,Носки,1099.00,"gender:Женский|Размер:25,3|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Хлопок-74%, Полиэстер-20%, Полиамид-3%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/ee3/121414_61_1.jpeg,599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fnoski-3-pary-10.20675-mayoral-61%2F%3Fsize%3D25%252C3,Mayoral
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Колготки и носки",,Носки,199.00,"gender:Мужской|Размер:7-9|Цвет:Черный|Пол:Мужской|Возраст:Для малышей|Материал:Хлопок-80%, Полиамид-10%, Нейлон-7%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/8da/60096_7_1.jpeg,99.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fnoski-makhrovye-sbbm-1356-charmante-7%2F%3Fsize%3D7-9,Charmante
